series_id                     ,year,period,       value,footnote_codes
JTS000000010000000QUL         ,2006,M03,46.0,
JTS000000010000000QUL         ,2006,M04,45.0,
JTS000000010000000QUL         ,2006,M05,50.0,
JTS000000010000000QUL         ,2006,M06,54.0,
JTS000000010000000QUL         ,2006,M07,52.0,
JTS000000010000000QUL         ,2006,M08,52.0,
JTS000000010000000QUL         ,2006,M09,53.0,
JTS000000010000000QUL         ,2006,M10,48.0,
JTS000000010000000QUL         ,2006,M11,53.0,
JTS000000010000000QUL         ,2006,M12,60.0,
JTS000000010000000QUR         ,2006,M01,2.3,
JTS000000010000000QUR         ,2006,M02,2.3,
JTS000000010000000QUR         ,2006,M03,2.3,
JTS000000010000000QUR         ,2006,M04,2.3,
JTS000000010000000QUR         ,2006,M05,2.5,
JTS000000010000000QUR         ,2006,M06,2.7,
JTS000000010000000QUR         ,2006,M07,2.6,
JTS000000010000000QUR         ,2006,M08,2.6,
JTS000000010000000QUR         ,2006,M09,2.6,
JTS000000010000000QUR         ,2006,M10,2.4,
JTS000000010000000QUR         ,2006,M11,2.6,
JTS000000010000000QUR         ,2006,M12,3.0,
JTS000000010000000TSL         ,2006,M01,71.0,
JTS000000010000000TSL         ,2006,M02,78.0,
JTS000000010000000TSL         ,2006,M03,78.0,
JTS000000010000000TSL         ,2006,M04,75.0,
JTS000000010000000TSL         ,2006,M05,87.0,
JTS000000010000000TSL         ,2006,M06,84.0,
JTS000000010000000TSL         ,2006,M07,83.0,
JTS000000010000000TSL         ,2006,M08,97.0,
JTS000000010000000TSL         ,2006,M09,85.0,
JTS000000010000000TSL         ,2006,M10,76.0,
JTS000000010000000TSL         ,2006,M11,83.0,
JTS000000010000000TSL         ,2006,M12,92.0,
JTS000000010000000TSR         ,2006,M01,3.6,
JTS000000010000000TSR         ,2006,M02,3.9,
JTS000000010000000TSR         ,2006,M03,3.9,
JTS000000010000000TSR         ,2006,M04,3.8,
JTS000000010000000TSR         ,2006,M05,4.4,
JTS000000010000000TSR         ,2006,M06,4.2,
JTS000000010000000TSR         ,2006,M07,4.2,
JTS000000010000000TSR         ,2006,M08,4.8,
JTS000000010000000TSR         ,2006,M09,4.2,
JTS000000010000000TSR         ,2006,M10,3.8,
JTS000000010000000TSR         ,2006,M11,4.1,
JTS000000010000000TSR         ,2006,M12,4.6,
JTS000000010000000UOR         ,2006,M01,1.5,
JTS000000010000000UOR         ,2006,M02,1.4,
JTS000000010000000UOR         ,2006,M03,1.2,
JTS000000010000000UOR         ,2006,M04,1.2,
JTS000000010000000UOR         ,2006,M05,1.3,
JTS000000010000000UOR         ,2006,M06,1.2,
JTS000000010000000UOR         ,2006,M07,1.3,
JTS000000010000000UOR         ,2006,M08,1.2,
JTS000000010000000UOR         ,2006,M09,1.2,
JTS000000010000000UOR         ,2006,M10,1.1,
JTS000000010000000UOR         ,2006,M11,1.1,
JTS000000010000000UOR         ,2006,M12,1.3,
JTS000000020000000HIL         ,2006,M01,28.0,
JTS000000020000000HIL         ,2006,M02,22.0,
JTS000000020000000HIL         ,2006,M03,20.0,
JTS000000020000000HIL         ,2006,M04,21.0,
JTS000000020000000HIL         ,2006,M05,17.0,
JTS000000020000000HIL         ,2006,M06,21.0,
JTS000000020000000HIL         ,2006,M07,21.0,
JTS000000020000000HIL         ,2006,M08,20.0,
JTS000000020000000HIL         ,2006,M09,21.0,
JTS000000020000000HIL         ,2006,M10,20.0,
JTS000000020000000HIL         ,2006,M11,24.0,
JTS000000020000000HIL         ,2006,M12,21.0,
JTS000000020000000HIR         ,2006,M01,9.0,
JTS000000020000000HIR         ,2006,M02,7.0,
JTS000000020000000HIR         ,2006,M03,6.4,
JTS000000020000000HIR         ,2006,M04,6.7,
JTS000000020000000HIR         ,2006,M05,5.4,
JTS000000020000000HIR         ,2006,M06,6.6,
JTS000000020000000HIR         ,2006,M07,6.7,
JTS000000020000000HIR         ,2006,M08,6.3,
JTS000000020000000HIR         ,2006,M09,6.7,
JTS000000020000000HIR         ,2006,M10,6.4,
JTS000000020000000HIR         ,2006,M11,7.6,
JTS000000020000000HIR         ,2006,M12,6.6,
JTS000000020000000JOL         ,2006,M01,18.0,
JTS000000020000000JOL         ,2006,M02,14.0,
JTS000000020000000JOL         ,2006,M03,16.0,
JTS000000020000000JOL         ,2006,M04,16.0,
JTS000000020000000JOL         ,2006,M05,15.0,
JTS000000020000000JOL         ,2006,M06,15.0,
JTS000000020000000JOL         ,2006,M07,13.0,
JTS000000020000000JOL         ,2006,M08,15.0,
JTS000000020000000JOL         ,2006,M09,16.0,
JTS000000020000000JOL         ,2006,M10,16.0,
JTS000000020000000JOL         ,2006,M11,17.0,
JTS000000020000000JOL         ,2006,M12,16.0,
JTS000000020000000JOR         ,2006,M01,5.5,
JTS000000020000000JOR         ,2006,M02,4.3,
JTS000000020000000JOR         ,2006,M03,4.8,
JTS000000020000000JOR         ,2006,M04,4.8,
JTS000000020000000JOR         ,2006,M05,4.5,
JTS000000020000000JOR         ,2006,M06,4.5,
JTS000000020000000JOR         ,2006,M07,4.0,
JTS000000020000000JOR         ,2006,M08,4.5,
JTS000000020000000JOR         ,2006,M09,4.8,
JTS000000020000000JOR         ,2006,M10,4.9,
JTS000000020000000JOR         ,2006,M11,5.1,
JTS000000020000000JOR         ,2006,M12,4.8,
JTS000000020000000LDL         ,2006,M01,8.0,
JTS000000020000000LDL         ,2006,M02,8.0,
JTS000000020000000LDL         ,2006,M03,8.0,
JTS000000020000000LDL         ,2006,M04,9.0,
JTS000000020000000LDL         ,2006,M05,8.0,
JTS000000020000000LDL         ,2006,M06,7.0,
JTS000000020000000LDL         ,2006,M07,6.0,
JTS000000020000000LDL         ,2006,M08,7.0,
JTS000000020000000LDL         ,2006,M09,7.0,
JTS000000020000000LDL         ,2006,M10,7.0,
JTS000000020000000LDL         ,2006,M11,6.0,
JTS000000020000000LDL         ,2006,M12,6.0,
JTS000000020000000LDR         ,2006,M01,2.6,
JTS000000020000000LDR         ,2006,M02,2.6,
JTS000000020000000LDR         ,2006,M03,2.5,
JTS000000020000000LDR         ,2006,M04,2.9,
JTS000000020000000LDR         ,2006,M05,2.5,
JTS000000020000000LDR         ,2006,M06,2.2,
JTS000000020000000LDR         ,2006,M07,1.9,
JTS000000020000000LDR         ,2006,M08,2.2,
JTS000000020000000LDR         ,2006,M09,2.2,
JTS000000020000000LDR         ,2006,M10,2.2,
JTS000000020000000LDR         ,2006,M11,1.9,
JTS000000020000000LDR         ,2006,M12,1.9,
JTS000000020000000QUL         ,2006,M01,13.0,
JTS000000020000000QUL         ,2006,M02,11.0,
JTS000000020000000QUL         ,2006,M03,10.0,
JTS000000020000000QUL         ,2006,M04,10.0,
JTS000000020000000QUL         ,2006,M05,11.0,
JTS000000020000000QUL         ,2006,M06,10.0,
JTS000000020000000QUL         ,2006,M07,11.0,
JTS000000020000000QUL         ,2006,M08,11.0,
JTS000000020000000QUL         ,2006,M09,10.0,
JTS000000020000000QUL         ,2006,M10,11.0,
JTS000000020000000QUL         ,2006,M11,11.0,
JTS000000020000000QUL         ,2006,M12,12.0,
JTS000000020000000QUR         ,2006,M01,4.2,
JTS000000020000000QUR         ,2006,M02,3.5,
JTS000000020000000QUR         ,2006,M03,3.2,
JTS000000020000000QUR         ,2006,M04,3.2,
JTS000000020000000QUR         ,2006,M05,3.5,
JTS000000020000000QUR         ,2006,M06,3.1,
JTS000000020000000QUR         ,2006,M07,3.5,
JTS000000020000000QUR         ,2006,M08,3.5,
JTS000000020000000QUR         ,2006,M09,3.2,
JTS000000020000000QUR         ,2006,M10,3.5,
JTS000000020000000QUR         ,2006,M11,3.5,
JTS000000020000000QUR         ,2006,M12,3.8,
JTS000000020000000TSL         ,2006,M01,22.0,
JTS000000020000000TSL         ,2006,M02,20.0,
JTS000000020000000TSL         ,2006,M03,20.0,
JTS000000020000000TSL         ,2006,M04,20.0,
JTS000000020000000TSL         ,2006,M05,20.0,
JTS000000020000000TSL         ,2006,M06,18.0,
JTS000000020000000TSL         ,2006,M07,19.0,
JTS000000020000000TSL         ,2006,M08,19.0,
JTS000000020000000TSL         ,2006,M09,19.0,
JTS000000020000000TSL         ,2006,M10,19.0,
JTS000000020000000TSL         ,2006,M11,18.0,
JTS000000020000000TSL         ,2006,M12,19.0,
JTS000000020000000TSR         ,2006,M01,7.1,
JTS000000020000000TSR         ,2006,M02,6.4,
JTS000000020000000TSR         ,2006,M03,6.4,
JTS000000020000000TSR         ,2006,M04,6.3,
JTS000000020000000TSR         ,2006,M05,6.3,
JTS000000020000000TSR         ,2006,M06,5.7,
JTS000000020000000TSR         ,2006,M07,6.0,
JTS000000020000000TSR         ,2006,M08,6.0,
JTS000000020000000TSR         ,2006,M09,6.0,
JTS000000020000000TSR         ,2006,M10,6.1,
JTS000000020000000TSR         ,2006,M11,5.7,
JTS000000020000000TSR         ,2006,M12,6.0,
JTS000000020000000UOR         ,2006,M01,1.3,
JTS000000020000000UOR         ,2006,M02,1.7,
JTS000000020000000UOR         ,2006,M03,1.5,
JTS000000020000000UOR         ,2006,M04,1.5,
JTS000000020000000UOR         ,2006,M05,1.6,
JTS000000020000000UOR         ,2006,M06,1.5,
JTS000000020000000UOR         ,2006,M07,1.8,
JTS000000020000000UOR         ,2006,M08,1.5,
JTS000000020000000UOR         ,2006,M09,1.4,
JTS000000020000000UOR         ,2006,M10,1.4,
JTS000000020000000UOR         ,2006,M11,1.3,
JTS000000020000000UOR         ,2006,M12,1.4,
JTS000000040000000HIL         ,2006,M01,127.0,
JTS000000040000000HIL         ,2006,M02,133.0,
JTS000000040000000HIL         ,2006,M03,108.0,
JTS000000040000000HIL         ,2006,M04,108.0,
JTS000000040000000HIL         ,2006,M05,111.0,
JTS000000040000000HIL         ,2006,M06,128.0,
JTS000000040000000HIL         ,2006,M07,122.0,
JTS000000040000000HIL         ,2006,M08,115.0,
JTS000000040000000HIL         ,2006,M09,112.0,
JTS000000040000000HIL         ,2006,M10,111.0,
JTS000000040000000HIL         ,2006,M11,121.0,
JTS000000040000000HIL         ,2006,M12,115.0,
JTS000000040000000HIR         ,2006,M01,4.9,
JTS000000040000000HIR         ,2006,M02,5.1,
JTS000000040000000HIR         ,2006,M03,4.1,
JTS000000040000000HIR         ,2006,M04,4.1,
JTS000000040000000HIR         ,2006,M05,4.2,
JTS000000040000000HIR         ,2006,M06,4.8,
