area,area_title,occ_code,tot_emp,h_median,h_pct10,h_pct25,h_pct75,h_pct90
1,Alabama,17-3012,140,23.86,16.21,20.89,36.55,42.14
1,Alabama,17-3013,440,23.59,15.87,18.19,30.29,39.22
1,Alabama,17-3021,550,30.72,23.3,24.53,40.74,46.57
1,Alabama,17-3022,1620,22.52,14.4,18,27.81,32.15
1,Alabama,17-3023,1580,29.66,20.7,23.33,37.75,46.43
1,Alabama,17-3024,30,28.71,24.11,27.03,30.15,30.63
1,Alabama,17-3025,160,18.23,15.79,17.45,28.12,31.56
1,Alabama,17-3026,850,28.09,21.64,23.03,33.8,39.61
1,Alabama,17-3027,700,24.53,18.56,21.41,30.65,38.42
1,Alabama,17-3029,930,28.66,16.66,20.9,36.82,49.6
1,Alabama,17-3031,1100,18,14.14,15.77,24.16,32.5
1,Alabama,19-0000,11760,30.05,18.26,22.88,40,52.47
1,Alabama,19-1012,50,22.04,17.82,17.82,32.61,41.36
1,Alabama,19-1013,160,44.33,22.02,32.99,51.59,58.52
1,Alabama,19-1021,120,25.29,18.61,22.63,34.05,50.48
1,Alabama,19-1022,150,27.13,17.89,21.62,36.05,41.59
1,Alabama,19-1023,340,28.5,20.24,23.47,33.86,43.41
1,Alabama,19-1029,180,37.6,21.5,24.92,43.24,48.06
1,Alabama,19-1032,230,32,20.73,27.81,38.9,48.29
1,Alabama,19-1041,50,29.92,20.24,24.01,35.59,45.61
1,Alabama,19-1042,1020,29.87,19.1,24.73,34.96,49.02
1,Alabama,19-2012,160,44.82,33.01,38.48,62.43,82.11
1,Alabama,19-2021,320,36.53,23.79,30.35,46.32,60.76
1,Alabama,19-2031,780,38.51,23.27,30.08,47.69,58.17
1,Alabama,19-2032,30,*,*,*,*,*
1,Alabama,19-2041,800,30.66,18.33,23.44,36.58,50.95
1,Alabama,19-2042,150,39.16,24.06,31.42,51,64.67
1,Alabama,19-2099,140,58.98,38.15,48.59,76.26,113.39
1,Alabama,19-3011,40,54.44,31.83,40.69,64.28,99.02
1,Alabama,19-3033,340,28.66,9.3,15.51,49.29,72.97
1,Alabama,19-3034,220,30.14,28.08,28.96,32.63,37.58
1,Alabama,19-3039,130,52.93,13.21,45.6,58.98,61.13
1,Alabama,19-3051,440,30.66,18.52,22.91,39.08,48.33
1,Alabama,19-3091,90,29.87,17.3,22.18,40.69,53.88
1,Alabama,19-3099,290,41.22,27.27,32.99,53.3,61.13
1,Alabama,19-4012,40,23.4,13.44,14.66,24.64,29.89
1,Alabama,19-4021,330,18.98,11.57,15.24,23.82,30.35
1,Alabama,19-4031,1480,24.81,16.66,19.46,31.51,38.05
1,Alabama,19-4042,330,25.21,18.76,21.43,34.19,50.74
1,Alabama,19-4043,170,18.8,10.72,17.13,19.7,22.93
1,Alabama,19-4051,170,48.37,28.62,39.19,57,57
1,Alabama,19-4071,230,22.88,17.86,20,27.49,30.08
1,Alabama,19-4092,150,25.78,18.26,21.25,30.66,33.08
1,Alabama,19-4099,270,20,14.69,17.04,27.13,31.73
1,Alabama,19-5011,1770,33.78,20.15,25.2,41.53,50.76
1,Alabama,19-5012,270,23.31,18.01,22.35,27.87,34.42
1,Alabama,21-0000,20940,21.29,13.22,17.08,28.47,33.84
