year,fips,population,w_population_ratio,b_population_ratio,na_population_ratio,a_population_ratio,nh_population_ratio,hi_population_ratio,male_population_ratio,female_population_ratio,age0_population_ratio,age1_population_ratio,age2_population_ratio,age3_population_ratio,age4_population_ratio,age5_population_ratio,age6_population_ratio,age7_population_ratio,age8_population_ratio,age9_population_ratio,age10_population_ratio,age11_population_ratio,age12_population_ratio,age13_population_ratio,age14_population_ratio,age15_population_ratio,age16_population_ratio,age17_population_ratio,age18_population_ratio
2019,48215,867221,0.97313,0.00931,0.00587,0.01169,0.07544,0.92456,0.49029,0.50971,0.01615,0.07034,0.09279,0.08891,0.0876,0.0759,0.07324,0.06286,0.06277,0.06189,0.0597,0.05089,0.04463,0.0391,0.03382,0.02909,0.02124,0.0149,0.01416
2019,48217,36536,0.90689,0.0733,0.01048,0.00933,0.78826,0.21174,0.49609,0.50391,0.01067,0.0485,0.06328,0.06873,0.06667,0.05447,0.05584,0.05824,0.05879,0.05063,0.05625,0.06156,0.07048,0.06843,0.06208,0.05526,0.04062,0.0245,0.02502
2019,48219,23055,0.9339,0.04563,0.01457,0.0059,0.51091,0.48909,0.49837,0.50163,0.01327,0.05426,0.07061,0.07439,0.08779,0.07105,0.06888,0.06697,0.06515,0.0553,0.05188,0.05248,0.06137,0.05673,0.04841,0.03652,0.02741,0.02056,0.01696
2019,48221,61762,0.96493,0.01316,0.01085,0.01106,0.87293,0.12707,0.48766,0.51234,0.00912,0.04388,0.05769,0.06125,0.05539,0.04551,0.05286,0.0529,0.05643,0.04914,0.0527,0.0589,0.07241,0.07916,0.07769,0.067,0.04877,0.03141,0.0278
2019,48223,37063,0.89879,0.08086,0.01136,0.00898,0.82638,0.17362,0.49195,0.50805,0.01282,0.05018,0.06608,0.07007,0.06694,0.05823,0.06284,0.0609,0.05782,0.05445,0.06203,0.05992,0.06797,0.06438,0.05639,0.04859,0.03597,0.02285,0.02158
2019,48225,22877,0.72684,0.25794,0.00708,0.00813,0.88421,0.11579,0.53508,0.46492,0.009,0.03987,0.05521,0.05905,0.05136,0.04699,0.05757,0.05792,0.06561,0.06181,0.06566,0.06504,0.0685,0.06968,0.06373,0.05884,0.04362,0.03108,0.02946
2019,48227,36732,0.88993,0.07753,0.01742,0.01511,0.5618,0.4382,0.57323,0.42677,0.0116,0.05222,0.06038,0.05929,0.06335,0.06757,0.08107,0.08156,0.06686,0.06477,0.0737,0.07489,0.06213,0.05287,0.04375,0.02957,0.02066,0.01628,0.01748
2019,48229,4875,0.91549,0.04431,0.02092,0.01928,0.22769,0.77231,0.53272,0.46728,0.01005,0.04451,0.06379,0.05313,0.05518,0.06851,0.09867,0.10421,0.07897,0.0681,0.05579,0.04697,0.05026,0.04841,0.04718,0.04308,0.03015,0.01518,0.01785
2019,48231,98559,0.87897,0.08719,0.01494,0.01891,0.82377,0.17623,0.49192,0.50808,0.01177,0.0507,0.06484,0.06886,0.0724,0.06808,0.06552,0.06178,0.06093,0.05645,0.06133,0.06351,0.07027,0.06279,0.05223,0.04217,0.03018,0.01985,0.01632
2019,48233,20899,0.93282,0.03541,0.0234,0.00837,0.75927,0.24073,0.50495,0.49505,0.01187,0.05311,0.06938,0.07493,0.06972,0.05627,0.06187,0.06005,0.06565,0.06206,0.06005,0.05216,0.06507,0.0656,0.059,0.04139,0.02904,0.02081,0.02196
2019,48235,1565,0.96166,0.01853,0.01278,0.00703,0.73866,0.26134,0.51118,0.48882,0.00767,0.04601,0.0722,0.05431,0.06326,0.04665,0.05112,0.06454,0.05942,0.0492,0.0607,0.04665,0.07987,0.07476,0.06645,0.05112,0.0524,0.02173,0.03195
2019,48237,8945,0.93572,0.04516,0.01151,0.0076,0.82605,0.17395,0.56087,0.43913,0.00838,0.04382,0.06328,0.06339,0.06439,0.06998,0.07535,0.06484,0.06607,0.05757,0.06182,0.06372,0.06954,0.05657,0.05187,0.04617,0.0322,0.0237,0.01733
2019,48239,14760,0.90352,0.07364,0.01037,0.01247,0.66558,0.33442,0.49573,0.50427,0.01497,0.05515,0.06768,0.07392,0.0664,0.05691,0.05996,0.06118,0.06836,0.05298,0.05583,0.05379,0.06294,0.06558,0.06098,0.04058,0.03489,0.02371,0.02419
2019,48241,35610,0.8162,0.16863,0.00764,0.00753,0.93069,0.06931,0.49576,0.50424,0.01073,0.05032,0.06422,0.06956,0.06201,0.05291,0.05965,0.05437,0.05847,0.05212,0.05791,0.06347,0.07197,0.07015,0.0631,0.05395,0.03957,0.02494,0.02061
2019,48243,2275,0.94549,0.0211,0.01538,0.01802,0.67604,0.32396,0.50637,0.49363,0.00527,0.00791,0.00791,0.01319,0.0444,0.02681,0.04659,0.05582,0.04571,0.05143,0.06462,0.06637,0.09758,0.11253,0.11648,0.0967,0.07385,0.03077,0.03604
2019,48245,251315,0.59544,0.35065,0.01134,0.04257,0.7805,0.2195,0.51254,0.48746,0.01335,0.05628,0.06751,0.06632,0.06408,0.06712,0.07452,0.07108,0.06931,0.06088,0.0585,0.05815,0.06454,0.06119,0.04833,0.03658,0.02519,0.01784,0.01923
