year,state_fip,population,w_population_ratio,b_population_ratio,na_population_ratio,a_population_ratio,nh_population_ratio,hi_population_ratio,male_population_ratio,female_population_ratio,age0_population_ratio,age1_population_ratio,age2_population_ratio,age3_population_ratio,age4_population_ratio,age5_population_ratio,age6_population_ratio,age7_population_ratio,age8_population_ratio,age9_population_ratio,age10_population_ratio,age11_population_ratio,age12_population_ratio,age13_population_ratio,age14_population_ratio,age15_population_ratio,age16_population_ratio,age17_population_ratio,age18_population_ratio
2018,34,8891730,0.73031,0.15778,0.00752,0.10439,0.79557,0.20443,0.48857,0.51143,0.01147,0.047,0.0601,0.0628,0.06247,0.06168,0.06508,0.06412,0.06513,0.06247,0.0676,0.07107,0.07256,0.06425,0.05088,0.04043,0.02859,0.01948,0.02281
2018,35,2093754,0.83055,0.03122,0.11649,0.02175,0.50682,0.49318,0.49497,0.50503,0.01101,0.04807,0.06452,0.06699,0.06655,0.06752,0.06961,0.066,0.06384,0.05593,0.05688,0.05793,0.06638,0.06435,0.05799,0.04576,0.03097,0.02025,0.01947
2018,36,19544098,0.70774,0.18551,0.01173,0.09502,0.80921,0.19079,0.4856,0.5144,0.01179,0.04677,0.05737,0.05721,0.06077,0.06643,0.07594,0.07125,0.06509,0.05915,0.06336,0.0672,0.06948,0.0632,0.05218,0.04065,0.02873,0.01998,0.02345
2018,37,10391358,0.71711,0.23102,0.01691,0.03495,0.90445,0.09555,0.48649,0.51351,0.01152,0.0473,0.0606,0.064,0.06612,0.06732,0.07016,0.06395,0.06338,0.06132,0.06708,0.06547,0.06696,0.06224,0.05394,0.04333,0.02891,0.01851,0.01789
2018,38,760062,0.88273,0.0378,0.05985,0.01962,0.96011,0.03989,0.51195,0.48805,0.01401,0.05756,0.06622,0.06282,0.0623,0.08412,0.0802,0.0708,0.0655,0.0534,0.05154,0.05367,0.06352,0.06088,0.04907,0.03544,0.02479,0.0192,0.02497
2018,39,11680892,0.82924,0.13985,0.00377,0.02714,0.9605,0.0395,0.49009,0.50991,0.01164,0.04801,0.06065,0.06318,0.06512,0.06484,0.06901,0.06316,0.06197,0.05704,0.06274,0.06444,0.0703,0.06759,0.05601,0.04231,0.02985,0.02031,0.02184
2018,40,3943488,0.7724,0.08937,0.11019,0.02804,0.89045,0.10955,0.49533,0.50467,0.01262,0.05325,0.06807,0.06843,0.06689,0.06947,0.07136,0.06665,0.06641,0.05809,0.05889,0.05786,0.06464,0.06044,0.0506,0.04035,0.02854,0.01888,0.01857
2018,41,4183538,0.89011,0.02865,0.02242,0.05882,0.86775,0.13225,0.49579,0.50421,0.01025,0.04481,0.05797,0.05947,0.0589,0.0634,0.0726,0.07041,0.07034,0.06332,0.06308,0.05926,0.06449,0.06564,0.06039,0.04645,0.03041,0.01868,0.02012
2018,42,12809107,0.82784,0.12793,0.00467,0.03956,0.92348,0.07652,0.49001,0.50999,0.0107,0.04438,0.05674,0.059,0.0632,0.06349,0.06793,0.06489,0.06115,0.05585,0.06231,0.06671,0.07197,0.06938,0.0577,0.04467,0.03178,0.02208,0.02606
2018,44,1059338,0.85144,0.09509,0.01236,0.04111,0.84055,0.15945,0.48656,0.51344,0.01016,0.04165,0.05209,0.05563,0.06744,0.0724,0.07264,0.06622,0.06186,0.05541,0.06232,0.06934,0.07268,0.06813,0.05463,0.04246,0.02907,0.0198,0.02606
2018,45,5091702,0.69451,0.27914,0.00601,0.02034,0.94171,0.05829,0.48472,0.51528,0.01113,0.04654,0.0603,0.06289,0.06359,0.06512,0.06976,0.06289,0.06229,0.05805,0.06302,0.0642,0.06778,0.06553,0.05946,0.04869,0.03208,0.01924,0.01744
2018,46,879386,0.85762,0.02759,0.09717,0.01761,0.95793,0.04207,0.50438,0.49562,0.01389,0.05642,0.06903,0.06891,0.06528,0.06791,0.0662,0.065,0.06362,0.05416,0.0535,0.05666,0.06731,0.066,0.057,0.03938,0.02669,0.01923,0.0238
2018,47,6778180,0.79575,0.17721,0.00513,0.02191,0.94413,0.05587,0.48793,0.51207,0.01196,0.04841,0.06093,0.06357,0.06281,0.06592,0.07292,0.06502,0.06394,0.06019,0.06537,0.06493,0.0673,0.06334,0.05403,0.04341,0.02961,0.0186,0.01775
2018,48,28624564,0.79892,0.1334,0.01132,0.05636,0.60561,0.39439,0.49661,0.50339,0.0133,0.05685,0.07154,0.07312,0.07099,0.06955,0.07526,0.07241,0.07082,0.06446,0.06429,0.05939,0.05966,0.05296,0.0427,0.0327,0.02183,0.01423,0.01394
2018,49,3155153,0.92268,0.01833,0.01736,0.04163,0.85826,0.14174,0.50362,0.49638,0.01503,0.06405,0.08243,0.08466,0.07882,0.08225,0.07831,0.06894,0.07342,0.06447,0.05462,0.04731,0.04927,0.04589,0.03781,0.0285,0.01958,0.01277,0.01189
2018,50,624802,0.95644,0.0176,0.00506,0.0209,0.9799,0.0201,0.49367,0.50633,0.00867,0.03854,0.05013,0.05407,0.06665,0.07333,0.06034,0.0584,0.05873,0.05442,0.06173,0.06744,0.07759,0.07638,0.0662,0.05052,0.03294,0.02088,0.02305
2018,51,8510920,0.70986,0.20851,0.00613,0.0755,0.90449,0.09551,0.49206,0.50794,0.01182,0.0482,0.06041,0.06218,0.06367,0.06783,0.07085,0.06872,0.0679,0.06172,0.06556,0.0666,0.06848,0.06146,0.05089,0.04067,0.02765,0.01757,0.01782
2018,53,7526793,0.81261,0.05381,0.0233,0.11028,0.87097,0.12903,0.50035,0.49965,0.01154,0.04929,0.06209,0.06145,0.05922,0.06416,0.0784,0.07486,0.07133,0.06194,0.06298,0.06089,0.06528,0.06232,0.05318,0.04073,0.02625,0.01644,0.01766
2018,54,1805953,0.94657,0.04132,0.00257,0.00954,0.98334,0.01666,0.49499,0.50501,0.01021,0.04301,0.05602,0.05782,0.05916,0.06241,0.06295,0.05634,0.06044,0.05954,0.06456,0.06526,0.07057,0.07224,0.06622,0.05152,0.03551,0.02366,0.02257
2018,55,5809319,0.88014,0.07407,0.01326,0.03253,0.92934,0.07066,0.49758,0.50242,0.01101,0.04643,0.06021,0.06366,0.06517,0.06807,0.06454,0.06248,0.06398,0.05729,0.06059,0.06624,0.07332,0.06797,0.05663,0.04164,0.02898,0.01983,0.02196
2018,56,579054,0.93881,0.01687,0.03087,0.01346,0.89856,0.10144,0.50967,0.49033,0.01161,0.05022,0.06541,0.0676,0.06272,0.06611,0.06764,0.06736,0.06781,0.05811,0.05618,0.05578,0.06801,0.06966,0.05809,0.04282,0.02802,0.01787,0.01898
