series_id                     ,year,period,       value,footnote_codes
LAUCN010470000000005          ,2024,M01,12638.0,
LAUCN010470000000005          ,2024,M02,12498.0,P
LAUCN010470000000006          ,2024,M01,13559.0,
LAUCN010470000000006          ,2024,M02,13410.0,P
LAUCN010490000000003          ,2024,M01,3.0,
LAUCN010490000000003          ,2024,M02,3.1,P
LAUCN010490000000004          ,2024,M01,932.0,
LAUCN010490000000004          ,2024,M02,968.0,P
LAUCN010490000000005          ,2024,M01,30347.0,
LAUCN010490000000005          ,2024,M02,30009.0,P
LAUCN010490000000006          ,2024,M01,31279.0,
LAUCN010490000000006          ,2024,M02,30977.0,P
LAUCN010510000000003          ,2024,M01,2.9,
LAUCN010510000000003          ,2024,M02,2.9,P
LAUCN010510000000004          ,2024,M01,1098.0,
LAUCN010510000000004          ,2024,M02,1127.0,P
LAUCN010510000000005          ,2024,M01,37418.0,
LAUCN010510000000005          ,2024,M02,37670.0,P
LAUCN010510000000006          ,2024,M01,38516.0,
LAUCN010510000000006          ,2024,M02,38797.0,P
LAUCN010530000000003          ,2024,M01,4.3,
LAUCN010530000000003          ,2024,M02,4.0,P
LAUCN010530000000004          ,2024,M01,630.0,
LAUCN010530000000004          ,2024,M02,577.0,P
LAUCN010530000000005          ,2024,M01,13936.0,
LAUCN010530000000005          ,2024,M02,13912.0,P
LAUCN010530000000006          ,2024,M01,14566.0,
LAUCN010530000000006          ,2024,M02,14489.0,P
LAUCN010550000000003          ,2024,M01,3.9,
LAUCN010550000000003          ,2024,M02,3.9,P
LAUCN010550000000004          ,2024,M01,1520.0,
LAUCN010550000000004          ,2024,M02,1538.0,P
LAUCN010550000000005          ,2024,M01,37875.0,
LAUCN010550000000005          ,2024,M02,38158.0,P
LAUCN010550000000006          ,2024,M01,39395.0,
LAUCN010550000000006          ,2024,M02,39696.0,P
LAUCN010570000000003          ,2024,M01,4.3,
LAUCN010570000000003          ,2024,M02,4.1,P
LAUCN010570000000004          ,2024,M01,278.0,
LAUCN010570000000004          ,2024,M02,268.0,P
LAUCN010570000000005          ,2024,M01,6238.0,
LAUCN010570000000005          ,2024,M02,6231.0,P
LAUCN010570000000006          ,2024,M01,6516.0,
LAUCN010570000000006          ,2024,M02,6499.0,P
LAUCN010590000000003          ,2024,M01,3.0,
LAUCN010590000000003          ,2024,M02,3.2,P
LAUCN010590000000004          ,2024,M01,427.0,
LAUCN010590000000004          ,2024,M02,451.0,P
LAUCN010590000000005          ,2024,M01,13689.0,
LAUCN010590000000005          ,2024,M02,13637.0,P
LAUCN010590000000006          ,2024,M01,14116.0,
LAUCN010590000000006          ,2024,M02,14088.0,P
LAUCN010610000000003          ,2024,M01,3.2,
LAUCN010610000000003          ,2024,M02,3.3,P
LAUCN010610000000004          ,2024,M01,358.0,
LAUCN010610000000004          ,2024,M02,372.0,P
LAUCN010610000000005          ,2024,M01,10954.0,
LAUCN010610000000005          ,2024,M02,10733.0,P
LAUCN010610000000006          ,2024,M01,11312.0,
LAUCN010610000000006          ,2024,M02,11105.0,P
LAUCN010630000000003          ,2024,M01,7.3,
LAUCN010630000000003          ,2024,M02,6.5,P
LAUCN010630000000004          ,2024,M01,214.0,
LAUCN010630000000004          ,2024,M02,188.0,P
LAUCN010630000000005          ,2024,M01,2724.0,
LAUCN010630000000005          ,2024,M02,2708.0,P
LAUCN010630000000006          ,2024,M01,2938.0,
LAUCN010630000000006          ,2024,M02,2896.0,P
LAUCN010650000000003          ,2024,M01,4.3,
LAUCN010650000000003          ,2024,M02,4.4,P
LAUCN010650000000004          ,2024,M01,262.0,
LAUCN010650000000004          ,2024,M02,258.0,P
LAUCN010650000000005          ,2024,M01,5814.0,
LAUCN010650000000005          ,2024,M02,5647.0,P
LAUCN010650000000006          ,2024,M01,6076.0,
LAUCN010650000000006          ,2024,M02,5905.0,P
LAUCN010670000000003          ,2024,M01,3.4,
LAUCN010670000000003          ,2024,M02,3.8,P
LAUCN010670000000004          ,2024,M01,243.0,
LAUCN010670000000004          ,2024,M02,266.0,P
LAUCN010670000000005          ,2024,M01,6850.0,
LAUCN010670000000005          ,2024,M02,6806.0,P
LAUCN010670000000006          ,2024,M01,7093.0,
LAUCN010670000000006          ,2024,M02,7072.0,P
LAUCN010690000000003          ,2024,M01,3.6,
LAUCN010690000000003          ,2024,M02,3.5,P
LAUCN010690000000004          ,2024,M01,1730.0,
LAUCN010690000000004          ,2024,M02,1714.0,P
LAUCN010690000000005          ,2024,M01,46862.0,
LAUCN010690000000005          ,2024,M02,46955.0,P
LAUCN010690000000006          ,2024,M01,48592.0,
LAUCN010690000000006          ,2024,M02,48669.0,P
LAUCN010710000000003          ,2024,M01,3.3,
LAUCN010710000000003          ,2024,M02,3.5,P
LAUCN010710000000004          ,2024,M01,785.0,
LAUCN010710000000004          ,2024,M02,816.0,P
LAUCN010710000000005          ,2024,M01,22806.0,
LAUCN010710000000005          ,2024,M02,22568.0,P
LAUCN010710000000006          ,2024,M01,23591.0,
LAUCN010710000000006          ,2024,M02,23384.0,P
LAUCN010730000000003          ,2024,M01,3.2,
LAUCN010730000000003          ,2024,M02,3.3,P
LAUCN010730000000004          ,2024,M01,10498.0,
LAUCN010730000000004          ,2024,M02,10959.0,P
LAUCN010730000000005          ,2024,M01,314487.0,
LAUCN010730000000005          ,2024,M02,316635.0,P
LAUCN010730000000006          ,2024,M01,324985.0,
LAUCN010730000000006          ,2024,M02,327594.0,P
LAUCN010750000000003          ,2024,M01,4.0,
LAUCN010750000000003          ,2024,M02,3.6,P
LAUCN010750000000004          ,2024,M01,232.0,
LAUCN010750000000004          ,2024,M02,208.0,P
LAUCN010750000000005          ,2024,M01,5611.0,
LAUCN010750000000005          ,2024,M02,5556.0,P
LAUCN010750000000006          ,2024,M01,5843.0,
LAUCN010750000000006          ,2024,M02,5764.0,P
LAUCN010770000000003          ,2024,M01,3.5,
LAUCN010770000000003          ,2024,M02,3.4,P
LAUCN010770000000004          ,2024,M01,1501.0,
LAUCN010770000000004          ,2024,M02,1460.0,P
LAUCN010770000000005          ,2024,M01,41581.0,
LAUCN010770000000005          ,2024,M02,41735.0,P
LAUCN010770000000006          ,2024,M01,43082.0,
LAUCN010770000000006          ,2024,M02,43195.0,P
LAUCN010790000000003          ,2024,M01,3.0,
LAUCN010790000000003          ,2024,M02,3.1,P
LAUCN010790000000004          ,2024,M01,454.0,
LAUCN010790000000004          ,2024,M02,456.0,P
LAUCN010790000000005          ,2024,M01,14533.0,
LAUCN010790000000005          ,2024,M02,14482.0,P
LAUCN010790000000006          ,2024,M01,14987.0,
LAUCN010790000000006          ,2024,M02,14938.0,P
LAUCN010810000000003          ,2024,M01,3.0,
LAUCN010810000000003          ,2024,M02,3.1,P
LAUCN010810000000004          ,2024,M01,2446.0,
LAUCN010810000000004          ,2024,M02,2573.0,P
LAUCN010810000000005          ,2024,M01,79799.0,
LAUCN010810000000005          ,2024,M02,80142.0,P
LAUCN010810000000006          ,2024,M01,82245.0,
LAUCN010810000000006          ,2024,M02,82715.0,P
LAUCN010830000000003          ,2024,M01,2.7,
LAUCN010830000000003          ,2024,M02,2.8,P
LAUCN010830000000004          ,2024,M01,1335.0,
LAUCN010830000000004          ,2024,M02,1429.0,P
LAUCN010830000000005          ,2024,M01,48960.0,
LAUCN010830000000005          ,2024,M02,49045.0,P
LAUCN010830000000006          ,2024,M01,50295.0,
LAUCN010830000000006          ,2024,M02,50474.0,P
LAUCN010850000000003          ,2024,M01,6.0,
LAUCN010850000000003          ,2024,M02,5.7,P
LAUCN010850000000004          ,2024,M01,211.0,
LAUCN010850000000004          ,2024,M02,200.0,P
LAUCN010850000000005          ,2024,M01,3325.0,
LAUCN010850000000005          ,2024,M02,3303.0,P
LAUCN010850000000006          ,2024,M01,3536.0,
LAUCN010850000000006          ,2024,M02,3503.0,P
LAUCN010870000000003          ,2024,M01,4.0,
LAUCN010870000000003          ,2024,M02,4.0,P
LAUCN010870000000004          ,2024,M01,323.0,
LAUCN010870000000004          ,2024,M02,323.0,P
LAUCN010870000000005          ,2024,M01,7687.0,
LAUCN010870000000005          ,2024,M02,7686.0,P
LAUCN010870000000006          ,2024,M01,8010.0,
LAUCN010870000000006          ,2024,M02,8009.0,P
LAUCN010890000000003          ,2024,M01,2.8,
LAUCN010890000000003          ,2024,M02,2.8,P
LAUCN010890000000004          ,2024,M01,5731.0,
LAUCN010890000000004          ,2024,M02,5936.0,P
LAUCN010890000000005          ,2024,M01,201975.0,
LAUCN010890000000005          ,2024,M02,203083.0,P
LAUCN010890000000006          ,2024,M01,207706.0,
LAUCN010890000000006          ,2024,M02,209019.0,P
LAUCN010910000000003          ,2024,M01,4.0,
LAUCN010910000000003          ,2024,M02,4.2,P
LAUCN010910000000004          ,2024,M01,307.0,
LAUCN010910000000004          ,2024,M02,319.0,P
LAUCN010910000000005          ,2024,M01,7329.0,
LAUCN010910000000005          ,2024,M02,7218.0,P
LAUCN010910000000006          ,2024,M01,7636.0,
LAUCN010910000000006          ,2024,M02,7537.0,P
LAUCN010930000000003          ,2024,M01,4.0,
LAUCN010930000000003          ,2024,M02,3.6,P
LAUCN010930000000004          ,2024,M01,523.0,
LAUCN010930000000004          ,2024,M02,476.0,P
LAUCN010930000000005          ,2024,M01,12691.0,
LAUCN010930000000005          ,2024,M02,12598.0,P
LAUCN010930000000006          ,2024,M01,13214.0,
LAUCN010930000000006          ,2024,M02,13074.0,P
LAUCN010950000000003          ,2024,M01,2.7,
LAUCN010950000000003          ,2024,M02,2.9,P
LAUCN010950000000004          ,2024,M01,1234.0,
LAUCN010950000000004          ,2024,M02,1349.0,P
LAUCN010950000000005          ,2024,M01,45127.0,
LAUCN010950000000005          ,2024,M02,44965.0,P
LAUCN010950000000006          ,2024,M01,46361.0,
LAUCN010950000000006          ,2024,M02,46314.0,P
LAUCN010970000000003          ,2024,M01,4.5,
LAUCN010970000000003          ,2024,M02,4.4,P
LAUCN010970000000004          ,2024,M01,8530.0,
LAUCN010970000000004          ,2024,M02,8366.0,P
LAUCN010970000000005          ,2024,M01,181805.0,
LAUCN010970000000005          ,2024,M02,182005.0,P
LAUCN010970000000006          ,2024,M01,190335.0,
LAUCN010970000000006          ,2024,M02,190371.0,P
LAUCN010990000000003          ,2024,M01,5.7,
LAUCN010990000000003          ,2024,M02,5.8,P
LAUCN010990000000004          ,2024,M01,403.0,
LAUCN010990000000004          ,2024,M02,406.0,P
LAUCN010990000000005          ,2024,M01,6699.0,
LAUCN010990000000005          ,2024,M02,6615.0,P
LAUCN010990000000006          ,2024,M01,7102.0,
LAUCN010990000000006          ,2024,M02,7021.0,P
LAUCN011010000000003          ,2024,M01,3.6,
LAUCN011010000000003          ,2024,M02,3.6,P
LAUCN011010000000004          ,2024,M01,3880.0,
LAUCN011010000000004          ,2024,M02,3908.0,P
LAUCN011010000000005          ,2024,M01,104088.0,
LAUCN011010000000005          ,2024,M02,104798.0,P
LAUCN011010000000006          ,2024,M01,107968.0,
LAUCN011010000000006          ,2024,M02,108706.0,P
LAUCN011030000000003          ,2024,M01,2.6,
LAUCN011030000000003          ,2024,M02,2.7,P
LAUCN011030000000004          ,2024,M01,1608.0,
LAUCN011030000000004          ,2024,M02,1663.0,P
LAUCN011030000000005          ,2024,M01,60329.0,
LAUCN011030000000005          ,2024,M02,60467.0,P
LAUCN011030000000006          ,2024,M01,61937.0,
LAUCN011030000000006          ,2024,M02,62130.0,P
LAUCN011050000000003          ,2024,M01,6.8,
LAUCN011050000000003          ,2024,M02,6.6,P
LAUCN011050000000004          ,2024,M01,206.0,
LAUCN011050000000004          ,2024,M02,193.0,P
LAUCN011050000000005          ,2024,M01,2814.0,
LAUCN011050000000005          ,2024,M02,2714.0,P
LAUCN011050000000006          ,2024,M01,3020.0,
LAUCN011050000000006          ,2024,M02,2907.0,P
LAUCN011070000000003          ,2024,M01,4.2,
LAUCN011070000000003          ,2024,M02,4.2,P
LAUCN011070000000004          ,2024,M01,328.0,
LAUCN011070000000004          ,2024,M02,326.0,P
LAUCN011070000000005          ,2024,M01,7574.0,
LAUCN011070000000005          ,2024,M02,7505.0,P
LAUCN011070000000006          ,2024,M01,7902.0,
LAUCN011070000000006          ,2024,M02,7831.0,P
LAUCN011090000000003          ,2024,M01,3.5,
LAUCN011090000000003          ,2024,M02,3.6,P
LAUCN011090000000004          ,2024,M01,569.0,
LAUCN011090000000004          ,2024,M02,591.0,P
LAUCN011090000000005          ,2024,M01,15698.0,
LAUCN011090000000005          ,2024,M02,15622.0,P
LAUCN011090000000006          ,2024,M01,16267.0,
LAUCN011090000000006          ,2024,M02,16213.0,P
LAUCN011110000000003          ,2024,M01,3.4,
LAUCN011110000000003          ,2024,M02,3.5,P
LAUCN011110000000004          ,2024,M01,328.0,
LAUCN011110000000004          ,2024,M02,336.0,P
LAUCN011110000000005          ,2024,M01,9395.0,
LAUCN011110000000005          ,2024,M02,9274.0,P
LAUCN011110000000006          ,2024,M01,9723.0,
LAUCN011110000000006          ,2024,M02,9610.0,P
LAUCN011130000000003          ,2024,M01,4.1,
LAUCN011130000000003          ,2024,M02,3.9,P
LAUCN011130000000004          ,2024,M01,969.0,
LAUCN011130000000004          ,2024,M02,922.0,P
LAUCN011130000000005          ,2024,M01,22920.0,
LAUCN011130000000005          ,2024,M02,22856.0,P
LAUCN011130000000006          ,2024,M01,23889.0,
LAUCN011130000000006          ,2024,M02,23778.0,P
LAUCN011150000000003          ,2024,M01,2.9,
LAUCN011150000000003          ,2024,M02,3.0,P
LAUCN011150000000004          ,2024,M01,1226.0,
LAUCN011150000000004          ,2024,M02,1287.0,P
LAUCN011150000000005          ,2024,M01,41183.0,
LAUCN011150000000005          ,2024,M02,41390.0,P
LAUCN011150000000006          ,2024,M01,42409.0,
LAUCN011150000000006          ,2024,M02,42677.0,P
LAUCN011170000000003          ,2024,M01,2.5,
LAUCN011170000000003          ,2024,M02,2.6,P
LAUCN011170000000004          ,2024,M01,3010.0,
LAUCN011170000000004          ,2024,M02,3198.0,P
LAUCN011170000000005          ,2024,M01,118918.0,
LAUCN011170000000005          ,2024,M02,119715.0,P
LAUCN011170000000006          ,2024,M01,121928.0,
LAUCN011170000000006          ,2024,M02,122913.0,P
LAUCN011190000000003          ,2024,M01,4.9,
LAUCN011190000000003          ,2024,M02,5.2,P
