year,fips,population,w_population_ratio,b_population_ratio,na_population_ratio,a_population_ratio,nh_population_ratio,hi_population_ratio,male_population_ratio,female_population_ratio,age0_population_ratio,age1_population_ratio,age2_population_ratio,age3_population_ratio,age4_population_ratio,age5_population_ratio,age6_population_ratio,age7_population_ratio,age8_population_ratio,age9_population_ratio,age10_population_ratio,age11_population_ratio,age12_population_ratio,age13_population_ratio,age14_population_ratio,age15_population_ratio,age16_population_ratio,age17_population_ratio,age18_population_ratio
2018,20095,7148,0.97468,0.00881,0.00951,0.00699,0.96097,0.03903,0.50028,0.49972,0.00783,0.04841,0.0589,0.06505,0.06491,0.0505,0.04966,0.0533,0.05792,0.05148,0.05624,0.06226,0.08478,0.08254,0.05876,0.04603,0.03819,0.0305,0.03274
2018,20097,2490,0.95622,0.01928,0.00803,0.01647,0.93976,0.06024,0.49317,0.50683,0.01325,0.05382,0.06345,0.06265,0.07831,0.07871,0.04779,0.04859,0.04257,0.05141,0.04779,0.05422,0.06988,0.0739,0.06867,0.04659,0.02651,0.03012,0.04177
2018,20099,19929,0.91008,0.05299,0.03051,0.00642,0.95138,0.04862,0.49862,0.50138,0.0127,0.05379,0.06533,0.06894,0.06026,0.05439,0.05981,0.05821,0.05715,0.04787,0.06036,0.06543,0.07482,0.0695,0.0562,0.05043,0.03377,0.02353,0.0275
2018,20101,1535,0.95896,0.0228,0.01368,0.00456,0.91531,0.08469,0.50619,0.49381,0.00912,0.05147,0.0671,0.06319,0.05668,0.04756,0.04886,0.05798,0.03909,0.04951,0.0645,0.06384,0.07557,0.08339,0.0645,0.05863,0.02997,0.04169,0.02736
2018,20103,81659,0.86336,0.10255,0.01152,0.02257,0.92906,0.07094,0.53267,0.46733,0.01166,0.05343,0.06766,0.06592,0.05955,0.05954,0.06448,0.07362,0.07722,0.0667,0.06396,0.06247,0.06849,0.06061,0.04971,0.0382,0.02447,0.01637,0.01594
2018,20105,2994,0.97428,0.01303,0.00802,0.00468,0.96126,0.03874,0.49866,0.50134,0.00835,0.04175,0.06947,0.0658,0.06112,0.04142,0.04309,0.03574,0.06179,0.04643,0.0521,0.06179,0.07482,0.08951,0.07615,0.05745,0.03106,0.03206,0.0501
2018,20107,9771,0.97339,0.01351,0.0088,0.0043,0.97093,0.02907,0.50752,0.49248,0.00993,0.04565,0.0568,0.06755,0.06519,0.04431,0.0481,0.04657,0.05731,0.06151,0.05516,0.06437,0.08341,0.06888,0.07205,0.05936,0.04186,0.02436,0.02763
2018,20109,2804,0.96683,0.01819,0.00606,0.00892,0.94187,0.05813,0.50535,0.49465,0.01676,0.05777,0.06705,0.06277,0.0592,0.05563,0.06598,0.05136,0.0592,0.05706,0.03887,0.05314,0.07953,0.07596,0.06312,0.03709,0.03245,0.0296,0.03745
2018,20111,33302,0.91982,0.03549,0.01625,0.02844,0.78506,0.21494,0.48589,0.51411,0.01219,0.04799,0.06144,0.06399,0.07988,0.13303,0.06774,0.05567,0.0557,0.04756,0.04925,0.05141,0.0597,0.06174,0.04907,0.036,0.02513,0.01802,0.0245
2018,20113,28565,0.96352,0.01862,0.00707,0.01078,0.95726,0.04274,0.49144,0.50856,0.01103,0.04593,0.06298,0.0676,0.06834,0.06123,0.05934,0.05832,0.06245,0.05398,0.05129,0.05612,0.07418,0.07061,0.05752,0.04421,0.03245,0.02475,0.03767
2018,20115,11885,0.96735,0.01624,0.01043,0.00597,0.96121,0.03879,0.49659,0.50341,0.00976,0.04131,0.06167,0.06151,0.07051,0.06782,0.04653,0.04804,0.05318,0.04552,0.05015,0.06117,0.07606,0.07615,0.06336,0.05309,0.04089,0.03004,0.04325
